,population,sample,population_11,sample_11,population_10,sample_10,population_9,sample_9,population_8,sample_8,population_7,sample_7,population_6,sample_6,population_5,sample_5,population_4,sample_4,population_3,sample_3,population_2,sample_2,population_1,sample_1
Yes,19104,681.0,11.0,0.0,70.0,0.0,81.0,0.0,480.0,8.0,1211.0,21.0,3072.0,126.0,4565.0,155.0,5632.0,220.0,2994.0,123.0,910.0,28.0,78.0,0.0
No,16610,646.0,0.0,0.0,10.0,0.0,72.0,0.0,176.0,0.0,469.0,21.0,1590.0,84.0,2795.0,125.0,4760.0,168.0,4131.0,144.0,2150.0,90.0,457.0,14.0
